Cluster,DC,DNS,Date Acquired,Env,FQDN,Hostname

DEV,MW,boxklcorp-mom01dev.dev.afl,Jul-12,DEV,APPAU301MEL0079.whitehouse.au,APPAU301MEL0079

DEV,MW,boxklcorp-emc01dev.dev.afl,Jul-12,DEV,APPAUDEVDT162.doghouse.dog,APPAUDEVDT162

DEV,MW,boxklcorp-emc02dev.dev.afl,Jul-12,DEV,APPAU301MEL0181.whitehouse.au,APPAU301MEL0181

DEV,MW,boxklcorp-emc03dev.dev.afl,Jul-12,DEV,APPAU182TST559.doghouse.dog,APPAU182TST559

DEV,MW,boxklcorp-cdv01dev.dev.afl,Apr-13,DEV,APPAU301MEL0179.whitehouse.au,APPAU301MEL0179

DEV,MW,boxklcorp-eem01dev.dev.afl,Apr-13,DEV,APPAU301MEL0180.whitehouse.au,APPAU301MEL0180

QA,MW,boxklcorp-mom01.dev.afl,Apr-13,QA,APPAU101MEL0027.whitehouse.au,APPAU101MEL0027

QA,MW,boxkloob-emc04.dev.afl,Jul-12,QA,APPAUQAAMG015.firehouse.tx,APPAUQAAMG015

QA,MW,boxkloob-emc05.dev.afl,Jul-12,QA,APPAUQAAMG016.firehouse.tx,APPAUQAAMG016

QA,MW,boxkloob-emc01.dev.afl,Apr-13,QA,APPAUQAAMG007.firehouse.tx,APPAUQAAMG007

QA,MW,boxkloob-emc02.dev.afl,Jun-14,QA,APPAU101MELM006.fishy.org,APPAU101MELM006

QA,MW,boxklcorp-emc02.dev.afl,Aug-13,QA,APPAU101MEL0079.whitehouse.au,APPAU101MEL0079

QA,MW,boxklcorp-emc03.dev.afl,Aug-13,QA,APPAU101MEL0080.whitehouse.au,APPAU101MEL0080

QA,MW,boxklcorp-cdv01.dev.afl,Aug-13,QA,APPAU101MEL0077.whitehouse.au,APPAU101MEL0077

QA,MW,boxklcorp-eem01.dev.afl,Aug-13,QA,APPAU101MEL0078.whitehouse.au,APPAU101MEL0076

PRODAU,MW,boxklcorp-mom01.apps.afl,Feb-13,PROD,APPAU001MEL0043.jungle.com,APPAU001MEL0043

PRODAU,MW,boxkloob-emc10.apps.afl,Feb-13,PROD,APPAU182MG016.orbiting.org,APPAU182MG016

PRODAU,MW,boxkloob-emc09.apps.afl,Feb-13,PROD,APPAU020MG016.orbiting.org,APPAU020MG016

PRODAU,MW,boxkloob-emc01.apps.afl,Sep-13,PROD,APPAU182MG017.orbiting.org,APPAU182MG017

PRODAU,MW,boxkloob-emc02.apps.afl,Sep-13,PROD,APPAU182MG018.orbiting.org,APPAU182MG018

PRODAU,MW,boxkloob-emc03.apps.afl,Sep-14,PROD,APPAU001MELM012.letit.fly,APPAU001MELM012

PRODAU,MW,boxkloob-emc04.apps.afl,Sep-14,PROD,APPAU001MELM013.letit.fly,APPAU001MELM013

PRODAU,MW,boxklcorp-emc03.apps.afl,Sep-13,PROD,APPAU001MEL0104.jungle.com,APPAU001MEL0104

PRODAU,MW,boxklcorp-emc04.apps.afl,Sep-13,PROD,APPAU001MEL0105.jungle.com,APPAU001MEL0105

PRODAU,MW,boxklcorp-cdv01.apps.afl,Sep-13,PROD,APPAU001MEL0108.jungle.com,APPAU001MEL0108

PRODAU,MW,boxklcorp-eem01.apps.afl,Sep-13,PROD,APPAU001MEL0109.jungle.com,APPAU001MEL0109

PRODSG,KC,dedupcorp-emc01.apps.afl,Sep-13,PROD,APPSG001SIN0017.jungle.com,APPSG001SIN0017

PRODSG,KC,dedupcorp-emc02.apps.afl,Sep-13,PROD,APPSG001SIN0018.jungle.com,APPSG001SIN0018

PRODSG,KC,dedupcorp-mom01.apps.afl,Sep-14,PROD,APPSG001SIN0020.jungle.com,APPSG001SIN0020

PRODSG,KC,dedupoob-emc01.apps.afl,Sep-14,PROD,APPSG001SINM021.letit.fly,APPSG001SINM021

PRODSG,KC,dedupoob-emc02.apps.afl,Sep-14,PROD,APPSG001SINM022.letit.fly,APPSG001SINM022

EVENTGEN,MW,boxklcorp-efg01.dev.afl,Aug-13,QA,APPAU101MEL0078.whitehouse.au,APPAU101MEL0078

EVENTGEN,MW,boxklcorp-efg02.dev.afl,Aug-13,QA,APPAU101MEL0074.whitehouse.au,APPAU101MEL0074